respondent_id,h1n1_vaccine,seasonal_vaccine
26707.0,0.037890009061589486,0.053560023517292964
26708.0,0.00015746744293149053,3.2127572420015785e-05
26709.0,0.9298317215925385,0.9857489336147927
26710.0,0.45578938352453124,0.9962413999580412
26711.0,0.4690325980032431,0.7277080004084812
26712.0,0.9178818341946923,0.9907560449197619
26713.0,0.5496026151048556,0.9855882238238199
26714.0,0.017407874075636452,0.14686379406707
26715.0,0.0022444576442555704,0.15791603669789045
26716.0,0.26733778284582044,0.9913259908480431
26717.0,0.007511198934198401,0.2758210632958453
26718.0,0.13934950847127875,0.4897579027724205
26719.0,0.3156021004977534,0.9922132928552808
26720.0,0.01964327318471863,0.04043577348467904
26721.0,0.1363453764232947,0.01911556685281093
26722.0,0.002849892406213739,0.02312680347729132
26723.0,0.8725115702687648,0.9985865880637609
26724.0,0.02353090956996684,0.8830671490952449
26725.0,0.026305921597102468,0.0843775943568614
26726.0,0.0003014259520954004,0.001016662432180005
26727.0,0.7510239948306054,0.994331029682792
26728.0,0.3155976511435945,0.7779863623799411
26729.0,0.07873939137261883,0.5461894381872108
26730.0,0.012380581419271676,0.1665161612421822
26731.0,1.6324226766873076e-05,0.009187808123388808
26732.0,6.084573275093479e-05,0.00023286532992697933
26733.0,0.9979153964310427,0.9994462522213513
26734.0,0.9604528425683894,0.8741796165704319
26735.0,0.026972348546675077,0.1399476086022592
26736.0,0.03599244124559049,0.13316061199421067
26737.0,0.0019401635334004624,0.02050009213410341
26738.0,0.9957667019756098,0.9995290959045452
26739.0,0.01080254077903337,0.04849902644057982
26740.0,0.006518577109657732,0.0015137996727704085
26741.0,0.46032149421535634,0.9738892432789533
26742.0,0.15447375828296397,0.8233626721222805
26743.0,0.0010757262383703093,0.27509517400012395
26744.0,0.13475741734083113,0.8742179001133026
26745.0,0.1153501788797568,0.9739515753800558
26746.0,0.04058933037752548,0.14510487842338754
26747.0,0.03463510032470809,0.3315044963995641
26748.0,0.018985985940980592,0.0019543451057482866
26749.0,0.14264677915928065,0.7886315213203603
26750.0,0.983106146854165,0.9998533872736426
26751.0,0.8583550478911313,0.93985236796329
26752.0,3.376888903925142e-05,5.309213005792244e-05
26753.0,0.8318819315735908,0.9984975324041202
26754.0,0.06675695508591456,0.070937833184419
26755.0,0.0004783150396890525,0.01413322862087277
26756.0,8.14394553065198e-06,1.4806971352178293e-05
26757.0,0.7061524700475774,0.8435609830006165
26758.0,0.9889090400071583,0.9970554048605089
26759.0,0.0011497219334749118,0.030725683416959103
26760.0,1.0859240868741247e-05,8.446751212992e-05
26761.0,0.1763350813992005,0.9844257629906882
26762.0,0.03128514915747213,0.9000546438982514
26763.0,0.9978593383041551,0.9998577479551112
26764.0,0.9989027753134742,0.9997669103341723
26765.0,0.0005242252196729639,0.09320618117218908
26766.0,0.04174832186900738,0.09953246628232267
26767.0,0.9956176058329679,0.992959562515961
26768.0,0.018891041721336103,0.22920294045060183
26769.0,0.01983827800479175,0.037265811937058795
26770.0,0.46464739529171045,0.8197695287947355
26771.0,0.012151630385974322,0.06221422621049922
